Timestamp,Velocity,accel_X,accel_Y,accel_Z,Steering_wheel_x,Accelerator,Brake,Winker(left),Winker(right),Label1,Timecheck
20200715_171924_3908893638,57,-0.078406,-0.000313,0.176373,-22,0,0,0,0,0,0:06:12
20200715_171924_3908926970,57,-0.106142,0.001764,0.175463,-21,0,0,0,0,0,0:06:12
20200715_171924_3908943636,57,-0.24908,0.002629,0.17128,-19,0,0,0,0,0,0:06:12
20200715_171924_3908993634,57,-0.327634,0.007447,0.169289,-18,0,0,0,0,0,0:06:12
20200715_171924_3909010300,57,-0.529207,0.006143,0.165066,-15,0,0,0,0,0,0:06:12
20200715_171925_3909043632,57,-0.577069,-0.000968,0.164293,-14,0,0,0,0,0,0:06:13
20200715_171925_3909060298,57,-0.640242,-0.020966,0.163841,-12,0,0,0,0,0,0:06:13
20200715_171925_3909110296,57,-0.657063,-0.033115,0.164036,-11,0,0,0,0,0,0:06:13
20200715_171925_3909126962,57,-0.460401,-0.047208,0.170645,-11,0,0,0,0,0,0:06:13
20200715_171925_3909176960,57,-0.381199,-0.050278,0.172814,-11,0,0,0,0,0,0:06:13
20200715_171925_3909210292,57,-0.153377,-0.02097,0.178673,-11,0,0,0,0,0,0:06:13
20200715_171925_3909226958,57,-0.045428,0.005372,0.181111,-11,0,0,0,0,0,0:06:13
20200715_171925_3909276956,57,0.000905,0.016425,0.182021,-11,0,0,0,0,0,0:06:13
20200715_171925_3909310288,57,0.030104,0.014879,0.181998,-11,0,0,0,0,0,0:06:13
20200715_171925_3909326954,57,0.012748,0.008831,0.181277,-11,0,0,0,0,0,0:06:13
20200715_171925_3909360286,57,0.001134,0.003435,0.180876,-11,0,0,0,0,2,0:06:13
20200715_171925_3909393618,57,-0.00893,-0.005653,0.180447,-11,0,0,0,0,2,0:06:13
20200715_171925_3909426950,57,-0.010012,-0.006824,0.18047,-11,0,0,0,0,2,0:06:13
20200715_171925_3909460282,57,-0.008825,-0.001372,0.180687,-11,0,0,0,0,2,0:06:13
20200715_171925_3909493614,57,-0.011617,0.003088,0.180699,-11,0,0,0,0,2,0:06:13
20200715_171925_3909526946,57,-0.01591,0.00651,0.18063,-11,0,0,0,0,2,0:06:13
20200715_171925_3909560278,57,-0.039759,0.005547,0.180195,-10,0,0,0,0,2,0:06:13
20200715_171925_3909576944,57,-0.080473,0.006563,0.179589,-10,0,0,0,0,2,0:06:13
20200715_171925_3909610276,57,-0.10947,0.006829,0.179205,-9,0,0,0,0,2,0:06:13
20200715_171925_3909643608,57,-0.193249,0.00857,0.178244,-8,0,0,0,0,2,0:06:13
20200715_171925_3909676940,57,-0.227799,0.005689,0.177941,-7,0,0,0,0,0,0:06:13
20200715_171925_3909710272,57,-0.25335,-0.005248,0.178358,-7,0,0,0,0,0,0:06:13
20200715_171925_3909743604,57,-0.246213,-0.014149,0.17853,-6,0,0,0,0,0,0:06:13
20200715_171925_3909776936,57,-0.226787,-0.015216,0.179068,-6,0,0,0,0,0,0:06:13
20200715_171925_3909793602,57,-0.166758,-0.017862,0.179869,-5,0,0,0,0,0,0:06:13
20200715_171925_3909843600,57,-0.163165,-0.016899,0.180006,-5,0,0,0,0,0,0:06:13
20200715_171925_3909860266,57,-0.165505,-0.002662,0.179697,-4,0,0,0,0,0,0:06:13
20200715_171925_3909910264,57,-0.172005,0.002582,0.179778,-4,0,0,0,0,0,0:06:13
20200715_171925_3909943596,57,-0.169214,0.005699,0.179978,-3,0,0,0,0,0,0:06:13
20200715_171925_3909960262,57,-0.167518,0.004233,0.180058,-3,0,0,0,0,0,0:06:13
20200715_171925_3909976928,57,-0.157765,0.001826,0.180081,-3,0,0,0,0,0,0:06:13
20200715_171925_3910010260,57,-0.141476,0.001092,0.180184,-2,0,0,0,0,0,0:06:13
20200715_171926_3910026926,57,-0.128519,-0.000691,0.180281,-2,0,0,0,0,0,0:06:14
20200715_171926_3910076924,57,-0.112589,-0.002045,0.180344,-2,0,0,0,0,0,0:06:14
20200715_171926_3910093590,57,-0.062576,-0.001514,0.180579,-2,0,0,0,0,0,0:06:14
20200715_171926_3910143588,57,-0.049189,-0.000428,0.180636,-2,0,0,0,0,0,0:06:14
20200715_171926_3910176920,56,-0.016067,0.002763,0.180779,-2,0,0,0,0,0,0:06:14
20200715_171926_3910210252,56,0.00574,0.002604,0.180762,-2,0,0,0,0,0,0:06:14
20200715_171926_3910226918,56,0.006635,0.001895,0.18067,-2,0,0,0,0,0,0:06:14
20200715_171926_3910260250,56,0.003704,0.001182,0.180613,-2,0,0,0,0,0,0:06:14
20200715_171926_3910293582,56,-0.000332,-0.000322,0.180504,-2,0,0,0,0,0,0:06:14
20200715_171926_3910326914,56,-0.001322,-0.001451,0.180413,-2,0,0,0,0,0,0:06:14
20200715_171926_3910360246,56,-0.00193,-0.00217,0.180315,-2,0,0,0,0,0,0:06:14
