Timestamp,Odometer,Gear(dashboard),RPM,            Fuel_level,Avg_fuel_consumption,Velocity,            Acceleration_x,Acceleration_y,Acceleration_z,            Coordinate(location)_x,Coordinate(location)_y,Coordinate(location)_z,            Rotation_angle_x,Rotation_angle_y,Rotation_angle_z,            Steering_wheel_x,Accelerator,Brake,Clutch,Winker(left),Winker(right)
20200610_152220_446815460, 24895.978515625, 0.0, 1523.1796875, 61.81942367553711, 0.43396782875061035, 179.4459228515625, 0.45099011063575745, -0.21209578216075897, -0.8287202715873718, -27818.46875, 8.710734367370605, -2406.918701171875, 0.02020481415092945, -0.004783522803336382, -0.00027658470207825303, 0.004730296786874533, 1.0, 0.00.0, 0.0, 1.0, 0.0, 
20200610_152221_446848792, 24896.01171875, 0.0, 1523.9962158203125, 61.7896842956543, 0.4339684545993805, 179.54542541503906, 0.24880129098892212, -0.2324305921792984, -0.826362669467926, -27818.68359375, 8.677063941955566, -2408.566650390625, 0.020453782752156258, -0.00481236120685935, -0.0002937740064226091, 0.004547188524156809, 1.0, 0.00.0, 0.0, 1.0, 0.0, 
20200610_152221_446865458, 24896.04296875, 0.0, 1524.836669921875, 61.75993347167969, 0.43396908044815063, 179.64639282226562, 0.11825205385684967, -0.18911226093769073, -0.8280106782913208, -27818.900390625, 8.64310359954834, -2410.215087890625, 0.020702999085187912, -0.004837974440306425, -0.00032428218401037157, 0.00509651331230998, 1.0, 0.00.0, 0.0, 1.0, 0.0, 
20200610_152221_446898790, 24896.05859375, 0.0, 1525.2806396484375, 61.745052337646484, 0.4339693784713745, 179.6962890625, 0.06412555277347565, -0.14275415241718292, -0.8282853364944458, -27819.009765625, 8.626039505004883, -2411.03955078125, 0.020836876705288887, -0.004856795538216829, -0.0003433308156672865, 0.005920500494539738, 1.0, 0.00.0, 0.0, 1.0, 0.0, 
20200610_152221_446948788, 24896.08984375, 0.0, 1526.17578125, 61.71528625488281, 0.43397003412246704, 179.796142578125, -0.045501790940761566, -0.028695089742541313, -0.8311693668365479, -27819.23046875, 8.591712951660156, -2412.68896484375, 0.021173976361751556, -0.004892843775451183, -0.00040119769982993603, 0.008453497663140297, 1.0, 0.00.0, 0.0, 1.0, 0.0, 
20200610_152221_446965454, 24896.13671875, 0.0, 1527.5, 61.670616149902344, 0.43397095799446106, 179.94729614257812, -0.2292756885290146, 0.15607288479804993, -0.8356556296348572, -27819.57421875, 8.540040969848633, -2415.1630859375, 0.021951157599687576, -0.004953936208039522, -0.0005784411332570016, 0.0120241092517972, 1.0, 0.00.0, 0.0, 1.0, 0.0, 
20200610_152221_446998786, 24896.15234375, 0.0, 1527.966064453125, 61.65571975708008, 0.43397122621536255, 179.99734497070312, -0.2834599018096924, 0.19686287641525269, -0.8353123068809509, -27819.693359375, 8.522802352905273, -2415.98779296875, 0.022280007600784302, -0.004978942219167948, -0.0006685996195301414, 0.013794155791401863, 1.0, 0.00.0, 0.0, 1.0, 0.0, 
20200610_152221_447032118, 24896.185546875, 0.0, 1528.8143310546875, 61.625919342041016, 0.4339718818664551, 180.09751892089844, -0.41430526971817017, 0.2809329330921173, -0.8365025520324707, -27819.93359375, 8.48830509185791, -2417.63720703125, 0.023005209863185883, -0.00501977140083909, -0.0008777551702223718, 0.015442130155861378, 1.0, 0.00.0, 0.0, 1.0, 0.0, 
20200610_152221_447065450, 24896.216796875, 0.0, 1529.5821533203125, 61.596107482910156, 0.4339725077152252, 180.19522094726562, -0.5042856931686401, 0.3112332820892334, -0.8315813541412354, -27820.185546875, 8.453680038452148, -2419.2861328125, 0.023769790306687355, -0.005066937766969204, -0.0010902879294008017, 0.0156557559967041, 1.0, 0.00.0, 0.0, 1.0, 0.0, 
20200610_152221_447098782, 24896.248046875, 0.0, 1530.3232421875, 61.566287994384766, 0.433973103761673, 180.29005432128906, -0.4790899455547333, 0.27014467120170593, -0.823226809501648, -27820.443359375, 8.418621063232422, -2420.9345703125, 0.024554505944252014, -0.005103858653455973, -0.0012610804988071322, 0.015594720840454102, 1.0, 0.00.0, 0.0, 0.0, 0.0, 
20200610_152221_447115448, 24896.279296875, 0.0, 1531.0421142578125, 61.536460876464844, 0.4339736998081207, 180.3828582763672, -0.337953120470047, 0.14877735078334808, -0.8096764087677002, -27820.7109375, 8.382915496826172, -2422.58251953125, 0.025352701544761658, -0.005136491730809212, -0.0013421321054920554, 0.014557106420397758, 1.0, 0.00.0, 0.0, 0.0, 0.0, 
20200610_152221_447148780, 24896.296875, 0.0, 1531.4183349609375, 61.52154541015625, 0.433974027633667, 180.42868041992188, -0.23767347633838654, 0.06332304328680038, -0.8023290038108826, -27820.84765625, 8.364757537841797, -2423.406494140625, 0.025752335786819458, -0.005153263453394175, -0.001343384268693626, 0.01440451666712761, 1.0, 0.00.0, 0.0, 0.0, 0.0, 
20200610_152221_447182112, 24896.328125, 0.0, 1532.1517333984375, 61.491703033447266, 0.43397465348243713, 180.5257110595703, -0.13376666605472565, -0.04958602041006088, -0.797156035900116, -27821.126953125, 8.328091621398926, -2425.053955078125, 0.026551803573966026, -0.005173754412680864, -0.0013105993857607245, 0.013336384668946266, 1.0, 0.00.0, 0.0, 0.0, 0.0, 
20200610_152221_447215444, 24896.359375, 0.0, 1532.9010009765625, 61.461849212646484, 0.43397530913352966, 180.6236114501953, -0.0492229089140892, -0.11814066022634506, -0.7945009469985962, -27821.4140625, 8.291105270385742, -2426.70068359375, 0.02732626162469387, -0.005205704364925623, -0.0012540986062958837, 0.012390325777232647, 1.0, 0.00.0, 0.0, 0.0, 0.0, 
