,Timestamp,RPM,Velocity,Steering_wheel_x,Accelerator,Brake,Winker(left),Winker(right),Label
20200610_152038_344419556,24848.05859375,106.41120147705078,-0.0698409229516983,0.0, 0.00.0,0.0,0.0, ,0
20200610_152038_344452888,24848.060546875,106.41120147705078,-0.08050809800624847,0.0, 0.00.0,0.0,0.0, ,0
20200610_152038_344469554,24848.060546875,106.41120147705078,-0.0999395102262497,0.0, 0.00.0,0.0,0.0, ,0
20200610_152038_344502886,24848.060546875,106.41120147705078,-0.10428915917873384,0.0, 0.00.0,0.0,0.0, ,0
20200610_152038_344552884,24848.060546875,106.41120147705078,-0.1230815201997757,0.0, 0.00.0,0.0,0.0, ,0
20200610_152038_344586216,24848.060546875,106.41120147705078,-0.155303955078125,0.0, 0.00.0,0.0,0.0, ,0
20200610_152038_344602882,24848.0625,106.41120147705078,-0.14928117394447327,0.0, 0.00.0,0.0,0.0, ,0
20200610_152038_344652880,24848.0625,106.41120147705078,-0.1495479792356491,0.0, 0.00.0,0.0,0.0, ,0
20200610_152038_344669546,24848.0625,106.41120147705078,-0.1423664093017578,0.0, 0.00.0,0.0,0.0, ,0
20200610_152038_344702878,24848.0625,106.41120147705078,-0.1347654014825821,0.0, 0.00.0,0.0,0.0, ,0
20200610_152038_344719544,24848.0625,106.41120147705078,-0.12766584753990173,0.0, 0.00.0,0.0,0.0, ,0
20200610_152038_344752876,24848.064453125,106.41120147705078,-0.1327565312385559,0.0, 0.00.0,0.0,0.0, ,0
20200610_152038_344802874,24848.064453125,106.41120147705078,-0.17636485397815704,0.0, 0.00.0,0.0,0.0, ,0
20200610_152038_344836206,24848.064453125,106.41120147705078,-0.20800673961639404,0.0, 0.00.0,0.0,0.0, ,0
20200610_152038_344869538,24848.064453125,106.41120147705078,-0.19939328730106354,0.0, 0.00.0,0.0,0.0, ,0
20200610_152038_344886204,24848.06640625,106.41120147705078,-0.21536558866500852,0.0, 0.00.0,0.0,0.0, ,0
20200610_152038_344919536,24848.06640625,106.41120147705078,-0.2210710644721985,0.0, 0.00.0,0.0,0.0, ,0
20200610_152038_344936202,24848.06640625,106.41120147705078,-0.2077116072177887,0.0, 0.00.0,0.0,0.0, ,0
20200610_152038_344969534,24848.06640625,106.41120147705078,-0.1942843794822693,0.0, 0.00.0,0.0,0.0, ,0
20200610_152039_345002866,24848.06640625,106.41120147705078,-0.17164751887321472,0.0, 0.00.0,0.0,0.0, ,0
20200610_152039_345036198,24848.06640625,106.41120147705078,-0.1894906312227249,0.0, 0.00.0,0.0,0.0, ,0
20200610_152039_345069530,24848.068359375,106.41120147705078,-0.15830165147781372,0.0, 0.00.0,0.0,0.0, ,0
20200610_152039_345102862,24848.068359375,106.41120147705078,-0.11531099677085875,0.0, 0.00.0,0.0,0.0, ,0
20200610_152039_345136194,24848.068359375,106.41120147705078,-0.08174091577529907,0.0, 0.00.0,0.0,0.0, ,0
20200610_152039_345169526,24848.068359375,106.41120147705078,-0.05784335359930993,0.0, 0.00.0,0.0,0.0, ,0
20200610_152039_345186192,24848.0703125,106.41120147705078,-0.026719454675912857,0.0, 0.00.0,0.0,0.0, ,0
20200610_152039_345219524,24848.0703125,106.41120147705078,-0.0226785447448492,0.0, 0.00.0,0.0,0.0, ,0
20200610_152039_345252856,24848.0703125,106.41120147705078,-0.013924537226557732,0.0, 0.00.0,0.0,0.0, ,0
20200610_152039_345302854,24848.0703125,106.41120147705078,-0.012729655019938946,0.0, 0.00.0,0.0,0.0, ,0
20200610_152039_345319520,24848.072265625,106.41120147705078,-0.01655901968479156,0.0, 0.00.0,0.0,0.0, ,0
20200610_152039_345352852,24848.072265625,106.41120147705078,-0.016548380255699158,0.0, 0.00.0,0.0,0.0, ,0
20200610_152039_345369518,24848.072265625,106.41120147705078,-0.014347271062433718,0.0, 0.00.0,0.0,0.0, ,0
20200610_152039_345402850,24848.072265625,106.41120147705078,-0.013076478615403177,0.0, 0.00.0,0.0,0.0, ,0
20200610_152039_345436182,24848.072265625,106.41120147705078,-0.011007786728441715,0.0, 0.00.0,0.0,0.0, ,0
20200610_152039_345469514,24848.07421875,106.41120147705078,-0.009706147946417332,0.0, 0.00.0,0.0,0.0, ,0
20200610_152039_345486180,24848.07421875,106.41120147705078,-0.008377687074244022,0.0, 0.00.0,0.0,0.0, ,0
20200610_152039_345519512,24848.07421875,106.41120147705078,-0.007824325002729894,0.0, 0.00.0,0.0,0.0, ,0
20200610_152039_345536178,24848.07421875,106.41120147705078,-0.00679395766928792,0.0, 0.00.0,0.0,0.0, ,0
20200610_152039_345586176,24848.07421875,106.41120147705078,-0.0037481877952814093,0.0, 0.00.0,0.0,0.0, ,0
20200610_152039_345602842,24848.076171875,106.41120147705078,0.017333835363388058,0.0, 0.00.0,0.0,0.0, ,0
20200610_152039_345636174,24848.076171875,106.41120147705078,0.02567834407091141,0.0, 0.00.0,0.0,0.0, ,0
20200610_152039_345669506,24848.076171875,106.41120147705078,0.06932151317596437,0.0, 0.00.0,0.0,0.0, ,0
20200610_152039_345702838,24848.076171875,106.41120147705078,0.13209065794944766,0.0, 0.00.0,0.0,0.0, ,0
20200610_152039_345736170,24848.078125,106.41120147705078,0.16131922602653506,0.0, 0.00.0,0.0,0.0, ,0
20200610_152039_345786168,24848.078125,106.41120147705078,0.19253021478652954,0.0, 0.00.0,0.0,0.0, ,0
20200610_152039_345802834,24848.078125,106.41120147705078,0.22401919960975647,0.0, 0.00.0,0.0,0.0, ,0
20200610_152039_345852832,24848.078125,106.41120147705078,0.2129090428352356,0.0, 0.00.0,0.0,0.0, ,0
20200610_152039_345886164,24848.080078125,106.41120147705078,0.21633337438106534,0.0, 0.00.0,0.0,0.0, ,0
20200610_152039_345902830,24848.080078125,106.41120147705078,0.20944617688655853,0.0, 0.00.0,0.0,0.0, ,0
20200610_152039_345936162,24848.080078125,106.41120147705078,0.21071957051754,0.0, 0.00.0,0.0,0.0, ,0
20200610_152039_345969494,24848.080078125,106.41120147705078,0.21839965879917145,0.0, 0.00.0,0.0,0.0, ,0
20200610_152040_346002826,24848.08203125,106.41120147705078,0.28730934858322144,0.0, 0.00.0,0.0,0.0, ,0
20200610_152040_346019492,24848.08203125,106.41120147705078,0.27287650108337397,0.0, 0.00.0,0.0,0.0, ,0
20200610_152040_346069490,24848.08203125,106.41120147705078,0.2801665961742401,0.0, 0.00.0,0.0,0.0, ,0
20200610_152040_346086156,24848.08203125,106.41120147705078,0.35824570059776306,0.0, 0.00.0,0.0,0.0, ,0
20200610_152040_346119488,24848.08203125,106.41120147705078,0.3313218951225281,0.0, 0.00.0,0.0,0.0, ,0
20200610_152040_346136154,24848.083984375,106.41120147705078,0.2626087367534637,0.0, 0.00.0,0.0,0.0, ,0
20200610_152040_346186152,24848.083984375,106.41120147705078,0.214971736073494,0.0, 0.00.0,0.0,0.0, ,0
20200610_152040_346202818,24848.083984375,106.41120147705078,0.13506413996219635,0.0, 0.00.0,0.0,0.0, ,0
20200610_152040_346236150,24848.083984375,106.41120147705078,0.09179972112178802,0.0, 0.00.0,0.0,0.0, ,0
20200610_152040_346286148,24848.0859375,106.41120147705078,0.024456992745399475,0.0, 0.00.0,0.0,0.0, ,0
20200610_152040_346319480,24848.0859375,106.41120147705078,0.04653388634324074,0.0, 0.00.0,0.0,0.0, ,0
20200610_152040_346336146,24848.0859375,106.41120147705078,0.06240631639957427,0.0, 0.00.0,0.0,0.0, ,0
20200610_152040_346369478,24848.0859375,106.41120147705078,0.06749691069126129,0.0, 0.00.0,0.0,0.0, ,0
20200610_152040_346402810,24848.0859375,106.41120147705078,0.06266448646783829,0.0, 0.00.0,0.0,0.0, ,0
20200610_152040_346436142,24848.087890625,106.41120147705078,0.04864513874053955,0.0, 0.00.0,0.0,0.0, ,0
20200610_152040_346469474,24848.087890625,106.41120147705078,0.0380188524723053,0.0, 0.00.0,0.0,0.0, ,0
