Timestamp,Velocity,Accel_X,Rotate_Z,Steering_wheel_x,Accelerator,Brake,Winker(left),Winker(right),Label,Timecheck
20200722_140237_1449452918,88,-0.248378,2.6619,7,0,0,0,0,0,0:00:07
20200722_140237_1449486250,88,-0.255855,2.3951,7,0,0,0,0,0,0:00:07
20200722_140237_1449519582,88,-0.249704,2.2111,7,0,0,0,0,0,0:00:07
20200722_140237_1449536248,88,-0.215248,2.2365,7,0,0,0,0,0,0:00:07
20200722_140237_1449569580,88,-0.181439,2.2908,7,0,0,0,0,0,0:00:07
20200722_140237_1449602912,88,-0.080549,2.4517,7,0,0,0,0,0,0:00:07
20200722_140237_1449636244,88,-0.009302,2.6156,7,0,0,0,0,0,0:00:07
20200722_140237_1449669576,88,0.029705,2.7287,6,0,0,0,0,0,0:00:07
20200722_140237_1449686242,88,0.00113,2.7507,6,0,0,0,0,0,0:00:07
20200722_140237_1449736240,88,-0.018984,2.7237,6,0,0,0,0,0,0:00:07
20200722_140237_1449786238,88,-0.049606,2.6881,6,0,0,0,0,0,0:00:07
20200722_140237_1449802904,88,-0.17118,2.5313,4,0,0,0,0,0,0:00:07
20200722_140237_1449836236,88,-0.252558,2.3082,3,0,0,0,0,0,0:00:07
20200722_140237_1449869568,88,-0.429122,1.536,1,0,0,0,0,0,0:00:07
20200722_140237_1449902900,88,-0.612819,0.4007,-1,0,0,0,0,0,0:00:07
20200722_140237_1449936232,88,-0.792884,-0.869,-2,0,0,0,0,0,0:00:07
20200722_140237_1449952898,88,-0.871846,-1.8498,-3,0,0,0,0,0,0:00:07
20200722_140237_1449986230,88,-0.801282,-2.1731,-3,0,0,0,0,0,0:00:07
20200722_140238_1450019562,88,-0.642045,-2.3272,-3,0,0,0,0,0,0:00:08
20200722_140238_1450052894,88,-0.424322,-2.0179,-3,0,0,0,0,0,0:00:08
20200722_140238_1450069560,88,-0.20638,-1.5205,-3,0,0,0,0,0,0:00:08
20200722_140238_1450102892,88,-0.117386,-1.2704,-3,0,0,0,0,0,0:00:08
20200722_140238_1450119558,88,-0.008676,-0.8712,-3,0,0,0,0,0,0:00:08
20200722_140238_1450152890,88,0.012792,-0.7582,-4,0,0,0,0,0,0:00:08
20200722_140238_1450186222,88,0.003647,-0.71,-4,0,0,0,0,0,0:00:08
20200722_140238_1450202888,88,-0.063842,-0.88,-4,0,0,0,0,0,0:00:08
20200722_140238_1450252886,88,-0.087037,-0.9824,-5,0,0,0,0,0,0:00:08
20200722_140238_1450286218,88,-0.139441,-1.2958,-5,0,0,0,0,0,0:00:08
20200722_140238_1450319550,88,-0.13461,-1.3956,-5,0,0,0,0,0,0:00:08
