Timestamp,RPM,Velocity,Steering_wheel_x,Accelerator,Brake,Winker(left),Winker(right),Label1,Label2
20200707_143741_998376730, 1246.06103515625, 27.10836410522461,-0.0196, 0.2222171425819397, 0.0, 0.0, 0.0,0,1
20200707_143741_998393396, 1247.6002197265625, 27.12552261352539,-0.0201, 0.2222171425819397, 0.0, 0.0, 0.0,0,1
20200707_143741_998443394, 1248.22021484375, 27.13650894165039,-0.0207, 0.2222171425819397, 0.0, 0.0, 0.0,0,1
20200707_143741_998476726, 1250.21533203125, 27.178478240966797,-0.0211, 0.2222171425819397, 0.0, 0.0, 0.0,0,1
20200707_143741_998493392, 1251.8431396484375, 27.214250564575195,-0.0211, 0.2222171425819397, 0.0, 0.0, 0.0,0,1
20200707_143741_998526724, 1252.7314453125, 27.233917236328125,-0.0211, 0.2222171425819397, 0.0, 0.0, 0.0,0,1
20200707_143741_998543390, 1254.6893310546875, 27.27723503112793,-0.0211, 0.2222171425819397, 0.0, 0.0, 0.0,0,1
20200707_143741_998593388, 1255.7532958984375, 27.300804138183594,-0.0211, 0.2222171425819397, 0.0, 0.0, 0.0,0,1
20200707_143741_998626720, 1259.29833984375, 27.378948211669922,-0.0209, 0.2222171425819397, 0.0, 0.0, 0.0,0,1
20200707_143741_998643386, 1261.9237060546875, 27.436914443969727,-0.0207, 0.2222171425819397, 0.0, 0.0, 0.0,0,1
20200707_143741_998676718, 1263.325927734375, 27.46765899658203,-0.0203, 0.2222171425819397, 0.0, 0.0, 0.0,0,1
20200707_143741_998726716, 1266.2515869140625, 27.532224655151367,-0.0203, 0.2222171425819397, 0.0, 0.0, 0.0,0,1
20200707_143741_998743382, 1271.0015869140625, 27.63690185546875,-0.0198, 0.2222171425819397, 0.0, 0.0, 0.0,0,1
20200707_143741_998776714, 1272.67431640625, 27.673723220825195,-0.0193, 0.2222171425819397, 0.0, 0.0, 0.0,0,1
20200707_143741_998793380, 1276.1484375, 27.750375747680664,-0.0191, 0.2222171425819397, 0.0, 0.0, 0.0,0,1
20200707_143741_998843378, 1277.9501953125, 27.790000915527344,-0.0188, 0.2222171425819397, 0.0, 0.0, 0.0,0,1
20200707_143741_998876710, 1283.586181640625, 27.91400718688965,-0.0188, 0.2222171425819397, 0.0, 0.0, 0.0,0,1
20200707_143742_998893376, 1287.5406494140625, 28.0008602142334,-0.019, 0.2222171425819397, 0.0, 0.0, 0.0,0,1
20200707_143742_998943374, 1289.5804443359375, 28.045761108398438,-0.0191, 0.2222171425819397, 0.0, 0.0, 0.0,0,1
20200707_143742_998976706, 1295.868896484375, 28.184062957763672,-0.0193, 0.2222171425819397, 0.0, 0.0, 0.0,0,1
20200707_143742_998993372, 1300.225341796875, 28.27987289428711,-0.0193, 0.2222171425819397, 0.0, 0.0, 0.0,0,1
20200707_143742_999026704, 1302.45947265625, 28.328903198242188,-0.0191, 0.2222171425819397, 0.0, 0.0, 0.0,0,1
20200707_143742_999076702, 1306.9859619140625, 28.42886734008789,-0.0191, 0.2222171425819397, 0.0, 0.0, 0.0,0,1
20200707_143742_999093368, 1313.98828125, 28.583179473876953,-0.0188, 0.2222171425819397, 0.0, 0.0, 0.0,0,1
20200707_143742_999126700, 1316.376220703125, 28.635778427124023,-0.0186, 0.2222171425819397, 0.0, 0.0, 0.0,0,1
20200707_143742_999143366, 1321.2276611328125, 28.742639541625977,-0.0187, 0.2222171425819397, 0.0, 0.0, 0.0,0,1
20200707_143742_999176698, 1323.69482421875, 28.796905517578125,-0.0188, 0.2222171425819397, 0.0, 0.0, 0.0,0,1
20200707_143742_999226696, 1328.687744140625, 28.906850814819336,-0.0189, 0.2222171425819397, 0.0, 0.0, 0.0,0,1
