2,Velocity,accel_X,accel_Z,Steering_wheel_x,Accelerator,Brake,Winker(left),Winker(right),Label,Timecheck
20200722_112449_858932308,94.36692047,0.158578,-0.019963,11,16,0,0,0,2,0:00:09
20200722_112449_858965640,94.37024689,0.171025,-0.02287,11,16,0,0,0,2,0:00:09
20200722_112449_858982306,94.37406921,0.138458,-0.026086,11,16,0,0,0,2,0:00:09
20200722_112449_859015638,94.37621307,0.115962,-0.027745,11,16,0,0,0,2,0:00:09
20200722_112449_859048970,94.3809967,0.099814,-0.031156,11,16,0,0,0,2,0:00:09
20200722_112449_859082302,94.3862381,0.084735,-0.034978,11,16,0,0,0,2,0:00:09
20200722_112449_859115634,94.39177704,0.048001,-0.038766,11,16,0,0,0,2,0:00:09
20200722_112449_859132300,94.3977356,0.003709,-0.042886,11,16,0,0,0,2,0:00:09
20200722_112449_859165632,94.40076447,-0.004316,-0.0445,11,16,0,0,0,2,0:00:09
20200722_112449_859182298,94.40737915,-0.018449,-0.048059,11,16,0,0,0,2,0:00:09
20200722_112450_859232296,94.41088104,-0.034659,-0.04981,11,16,0,0,0,2,0:00:10
20200722_112450_859265628,94.42137146,-0.05977,-0.054033,11,16,0,0,0,2,0:00:10
20200722_112450_859282294,94.42853546,-0.05064,-0.056425,11,16,0,0,0,2,0:00:10
20200722_112450_859315626,94.43219757,-0.046146,-0.057444,11,16,0,0,0,2,0:00:10
20200722_112450_859332292,94.43981934,-0.052684,-0.059653,10,16,0,0,0,2,0:00:10
20200722_112450_859365624,94.44393921,-0.067104,-0.060934,10,16,0,0,0,2,0:00:10
20200722_112450_859398956,94.45220947,-0.082765,-0.063155,9,16,0,0,0,2,0:00:10
20200722_112450_859415622,94.46109772,-0.163989,-0.066222,9,16,0,0,0,2,0:00:10
20200722_112450_859448954,94.4654007,-0.186034,-0.067446,9,16,0,0,0,2,0:00:10
20200722_112450_859498952,94.47409821,-0.236891,-0.069838,8,16,0,0,0,2,0:00:10
20200722_112450_859532284,94.48692322,-0.209524,-0.071647,9,16,0,0,0,2,0:00:10
20200722_112450_859565616,94.49562073,-0.148795,-0.072368,9,16,0,0,0,2,0:00:10
